,Reporter country,Partner country,FLOW,Value,PeopleTrust,FamilyTrust,NeighborTrust,PersonalTrust,OtherCountryTrust,GDP,Country Trade Percent of GDP,English Rate,Bilateral Trust,Net FDI,Net FDI % GDP,Portfolio equity,PartnerGDP,Distance,Capital City,Law Origins,Rel_sim
59,Belgium,Luxembourg,EXP,7945811075,,,,,,533382785676.06396,0.014897014467627907,0.71,0.772019329852,-48286,-9.2,7672,60130847623.6,116.0,Luxembourg,1.0,0.46722
60,Belgium,Netherlands,EXP,57446745720,,,,,,533382785676.06396,0.10770266169573904,0.71,0.546957678202,-48286,-9.2,7672,8.6950812548e+11,108.0,Amsterdam,1.0,0.294177631579
61,Belgium,Netherlands,EXP,57446745720,,,,,,533382785676.06396,0.10770266169573904,0.71,0.546957678202,-48286,-9.2,7672,8.6950812548e+11,108.0,Amsterdam,1.0,0.294177631579
62,Belgium,Poland,EXP,7621644443,,,,,,533382785676.06396,0.014289258385681772,0.71,0.269501268808,-48286,-9.2,7672,5.48003360279e+11,721.0,Warsaw,0.0,0.555416248746
63,Belgium,Poland,EXP,7621644443,,,,,,533382785676.06396,0.014289258385681772,0.71,0.269501268808,-48286,-9.2,7672,5.48003360279e+11,721.0,Warsaw,0.0,0.555416248746
64,Belgium,Portugal,EXP,2180825085,,,,,,533382785676.06396,0.004088667920236306,0.71,0.438488708989,-48286,-9.2,7672,2.2958371149e+11,1065.0,Lisbon,0.0,0.49047
65,Belgium,Portugal,EXP,2180825085,,,,,,533382785676.06396,0.004088667920236306,0.71,0.438488708989,-48286,-9.2,7672,2.2958371149e+11,1065.0,Lisbon,0.0,0.49047
66,Belgium,Spain,EXP,11179213686,,,,,,533382785676.06396,0.020959082269275564,0.71,0.439293980646,-48286,-9.2,7672,1.40430653606e+12,819.0,Madrid,1.0,0.518512256974
67,Belgium,Spain,EXP,11179213686,,,,,,533382785676.06396,0.020959082269275564,0.71,0.439293980646,-48286,-9.2,7672,1.40430653606e+12,819.0,Madrid,1.0,0.518512256974
68,Belgium,Sweden,EXP,6551117980,,,,,,533382785676.06396,0.012282207367634563,0.71,0.668718643083,-48286,-9.2,7672,5.7059126616e+11,796.0,Stockholm,0.0,0.129916579771
69,Belgium,Sweden,EXP,6551117980,,,,,,533382785676.06396,0.012282207367634563,0.71,0.668718643083,-48286,-9.2,7672,5.7059126616e+11,796.0,Stockholm,0.0,0.129916579771
70,Belgium,United Kingdom,EXP,35202237357,,,,,,533382785676.06396,0.0659980754954082,0.71,0.504423987026,-48286,-9.2,7672,2.94188553746e+12,199.0,London,0.0,0.234478649454
